Historical Sales,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Customer,Id,Region,Diesel Quota,,Tanks,Product,,04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016
,,,,,,90036236-5,PRIMAX 95,Sales,,4020,4465,5904,5807,6555,6145
,,,,,,,,Stock,15742,,14523,20138,10373,18368,
,,,,,,90036236-6,PRIMAX 97,Sales,,2603,2483,2762,2284,3026,3277
,,,,,,,,Stock,18828,,12557,10264,7413,16333,
,,,,,,,,,,,,,,,
,FH INTECH,90036280,NORTH1,81900,,90036280-2,PRIMAX 95,Sales,3821,3666,3667,3485,4287,5205,4486
,,,,,,,,Stock,11097,26254,16372,15716,18126,26643,
,,,,,,90036280-1,PRIMAX 95,Sales,3820,3665,3667,3484,4288,5205,4487
,,,,,,,,Stock,13431,23960,18099,13665,23585,17307,
,,,,,,90036280-3,PRIMAX 95,Sales,3820,3666,3666,3485,4288,5206,4486
,,,,,,,,Stock,20481,17080,20828,15758,24067,23881,
,,,,,,90036280-4,PRIMAX 97,Sales,660,564,489,652,644,976,690
,,,,,,,,Stock,5636,10099,9846,9130,8491,13207,
,,,,,,90036280-5,BIODIESEL B7 (RETAIL),Sales,3299,3603,2777,3170,2427,1983,3530
,,,,,,,,Stock,19224,21820,18649,15873,18575,20973,
,,,,,,,,,,,,,,,
,LA PETROLEUM SERVICES,90036292,CENTR2,73326,,90036292-3,PRIMAX 97,Sales,529,590,568,819,668,,
,,,,,,,,Stock,10073,8958,8575,7932,7152,6421,
,,,,,,90036292-1,PRIMAX 95,Sales,4033,4166,4328,4162,5075,,
,,,,,,,,Stock,15358,20138,16117,17705,13166,17043,
,,,,,,90036292-2,PRIMAX 95,Sales,4033,4166,4328,4163,5075,,
,,,,,,,,Stock,12138,16529,12599,14212,9883,13136,
,,,,,,90036292-4,PRIMAX 95,Sales,4033,4166,4328,4163,5075,,
,,,,,,,,Stock,21199,22026,17130,17796,13015,18585,
,,,,,,90036292-5,BIODIESEL B7 (RETAIL),Sales,3091,4989,3838,3651,4816,,
,,,,,,,,Stock,15656,15776,11318,17514,13302,15029,
,,,,,,,,,,,,,,,
,JELAWAT FUEL RESOURCES,90036341,EAST1,81900,,90036341-3,PRIMAX 95,Sales,4598,4602,4874,4873,5667,4952,4491
,,,,,,,,Stock,8083,24291,20847,26217,23487,12683,
,,,,,,90036341-4,PRIMAX 95,Sales,4599,4602,4873,4873,5667,4953,4491
,,,,,,,,Stock,20717,21378,21440,21515,16628,10243,
,,,,,,90036341-1,BIODIESEL B7 (RETAIL),Sales,2533,3841,3318,3375,3450,3660,2548
,,,,,,,,Stock,19558,17198,18852,15602,17633,14324,
,,,,,,90036341-2,PRIMAX 95,Sales,4599,4601,4874,4874,5668,4952,4491
,,,,,,,,Stock,17367,19722,23023,15617,20013,19597,
,,,,,,,,,,,,,,,
,JAMALUDDIN NORDIN ENTERPRISE,90036385,CENTR2,32206,,90036385-4,PRIMAX 95,Sales,5691,5795,5740,5867,6338,6709,5961
,,,,,,,,Stock,23995,24098,7160,22884,22761,10253,
,,,,,,90036385-5,BIODIESEL B7 (RETAIL),Sales,1001,1076,983,981,1767,494,1244
,,,,,,,,Stock,9933,8937,7811,6873,5401,9649,
,,,,,,90036385-2,PRIMAX 97,Sales,2144,1471,1785,2008,2277,2409,2102
,,,,,,,,Stock,17675,15670,14244,12533,10251,7971,
,,,,,,90036385-3,PRIMAX 95,Sales,5690,5795,5739,5868,6338,6710,5961
,,,,,,,,Stock,5944,21629,21629,4253,25481,25848,
,,,,,,90036385-1,PRIMAX 95,Sales,5690,5795,5739,5867,6338,6709,5961
,,,,,,,,Stock,21238,10111,9826,20585,13824,24202,
,,,,,,,,,,,,,,,
,PETROMELOR,90036436,EAST1,43680,,90036436-1,PRIMAX 95,Sales,2149,2032,2230,,2708,2455,2074
,,,,,,,,Stock,17793,17793,17793,17793,,17793,
,,,,,,90036436-2,PRIMAX 95,Sales,2149,2032,2231,,2708,2455,2074
,,,,,,,,Stock,11804,15727,14457,13336,,10138,
,,,,,,90036436-3,PRIMAX 95,Sales,2150,2031,2230,,2707,2454,2074
,,,,,,,,Stock,7259,13174,8207,13497,,13255,
,,,,,,90036436-4,BIODIESEL B7 (RETAIL),Sales,1773,1952,2086,,1399,1944,2628
,,,,,,,,Stock,13335,11642,9710,13174,,15805,
,,,,,,,,,,,,,,,
,SRI ANGGERIK ENTERPRISE,90036490,CENTR1,76440,,90036490-3,PRIMAX 95,Sales,10313,10429,10477,10386,10980,12337,10453
,,,,,,,,Stock,25877,22157,15085,16014,19226,20800,
,,,,,,90036490-1,PRIMAX 95,Sales,10312,10429,10477,10386,10980,12338,10454
,,,,,,,,Stock,18985,20092,13107,14230,17386,15585,
,,,,,,90036490-2,PRIMAX 95,Sales,10313,10429,10477,10387,10980,12338,10453
,,,,,,,,Stock,19485,24282,22760,21685,16520,16480,
,,,,,,90036490-4,BIODIESEL B7 (RETAIL),Sales,4322,3280,3135,3107,3270,2149,3478
,,,,,,,,Stock,18533,14492,16418,18671,21036,17700,
,,,,,,,,,,,,,,,
,SERI EMBUN JAYA ENTERPRISE,90036500,EAST2,180180,,90036500-1,BIODIESEL B7 (RETAIL),Sales,7165,8388,,8700,9169,4411,6982
,,,,,,,,Stock,18020,15900,18362,,17100,15357,
,,,,,,90036500-2,PRIMAX 95,Sales,8314,8062,,8717,9836,9093,8368
,,,,,,,,Stock,5475,17800,6888,,12184,16066,
,,,,,,90036500-3,PRIMAX 95,Sales,8314,8061,,8718,9836,9092,8369
,,,,,,,,Stock,17114,3126,19614,,13984,12560,
,,,,,,90036500-4,PRIMAX 97,Sales,826,874,,1164,1244,1297,947
,,,,,,,,Stock,6420,16310,15080,,13404,12276,
,,,,,,,,,,,,,,,
,KKAS ENTERPRISE,90036542,NORTH1,43680,,90036542-3,PRIMAX 97,Sales,375,,378,380,481,326,333
,,,,,,,,Stock,12430,11982,,11173,10940,10274,
,,,,,,90036542-4,BIODIESEL B7 (RETAIL),Sales,1774,,1755,1851,1868,1836,2039
,,,,,,,,Stock,10403,8629,,7836,5822,8753,
,,,,,,90036542-1,PRIMAX 95,Sales,4298,,4417,3599,4393,4265,3963
,,,,,,,,Stock,12609,5510,,22586,16325,20459,
,,,,,,90036542-2,PRIMAX 95,Sales,4297,,4417,3599,4393,4265,3963
,,,,,,,,Stock,19937,18281,,3397,1408,23248,
,,,,,,,,,,,,,,,
,ALAN KIMAN ENTERPRISE,90036552,NORTH2,120120,,90036552-1,BIODIESEL B7 (RETAIL),Sales,5217,4698,3638,4924,3148,1747,4570
,,,,,,,,Stock,20860,15805,16548,12892,18880,21083,
,,,,,,90036552-3,PRIMAX 95,Sales,4145,3767,3647,4096,4910,4191,3684
,,,,,,,,Stock,11230,8171,26141,26160,19730,19299,
,,,,,,90036552-4,PRIMAX 97,Sales,447,287,636,537,881,543,394
,,,,,,,,Stock,10770,10361,10058,9380,8894,7940,
,,,,,,90036552-2,PRIMAX 95,Sales,4146,3767,3646,4096,4909,4190,3684
,,,,,,,,Stock,24591,19125,21169,13688,22873,24374,
,,,,,,,,,,,,,,,
,IMAN ZME TRADING AND SERVICES,90036648,CENTR1,81900,,90036648-1,BIODIESEL B7 (RETAIL),Sales,4596,4667,3477,3936,3668,1636,3624
,,,,,,,,Stock,16257,17187,23682,20105,16025,17849,
,,,,,,90036648-2,PRIMAX 95,Sales,8590,8053,7970,8403,9909,9097,8268
,,,,,,,,Stock,24440,14966,23361,23876,23640,10838,
,,,,,,90036648-3,PRIMAX 97,Sales,1231,1638,1480,1137,1117,1258,1401
,,,,,,,,Stock,13585,12340,10770,9204,7810,6601,
,,,,,,90036648-4,PRIMAX 95,Sales,8590,8053,7970,8402,9909,9096,8268
,,,,,,,,Stock,8290,24135,24190,7248,19145,14996,
,,,,,,90036648-5,PRIMAX 95,Sales,8590,8053,7971,8403,9909,9096,8268
,,,,,,,,Stock,24324,24706,24719,18381,2974,22819,
,,,,,,,,,,,,,,,
,KFJ NIAGA,90036654,NORTH1,283920,,90036654-3,PRIMAX 95,Sales,5976,6186,5766,7151,6817,5869,6345
,,,,,,,,Stock,26487,26530,18940,24802,24147,22492,
,,,,,,90036654-4,PRIMAX 95,Sales,5975,6186,5765,7151,6817,5869,6345
,,,,,,,,Stock,18251,6225,17680,11117,13496,18251,
,,,,,,90036654-1,BIODIESEL B7 (RETAIL),Sales,1822,2760,2080,1982,2805,2859,3298
,,,,,,,,Stock,22543,20607,17901,21227,24748,22033,
,,,,,,90036654-2,PRIMAX 97,Sales,300,251,430,429,531,459,497
,,,,,,,,Stock,10328,10108,9814,9232,14469,13969,
,,,,,,,,,,,,,,,
,ZAHARIN EMAS ENTERPRISE,90036657,CENTR2,78086,,90036657-1,PRIMAX 95,Sales,7225,7259,7115,7017,7759,7637,8379
,,,,,,,,Stock,17410,16698,17159,18285,18540,16411,
,,,,,,90036657-2,PRIMAX 95,Sales,7224,7259,7115,7016,7760,7638,8378
,,,,,,,,Stock,15835,14096,19785,19511,13225,15401,
,,,,,,90036657-3,PRIMAX 97,Sales,1060,780,987,810,947,932,1092
,,,,,,,,Stock,5550,14386,14086,13015,12211,11346,
,,,,,,90036657-4,BIODIESEL B7 (RETAIL),Sales,2707,2539,2745,3552,2201,2602,2570
,,,,,,,,Stock,13677,16123,19057,17069,13225,15979,
,,,,,,,,,,,,,,,
,TELOK BLANGAH OIL SDN BHD,90036663,SOUTH2,32760,,90036663-2,PRIMAX 97,Sales,,1848,2313,2151,2276,2179,1626
,,,,,,,,Stock,6898,,14387,12074,9623,7347,
,,,,,,90036663-1,BIODIESEL B7 (RETAIL),Sales,,2612,2359,3131,1495,1036,2481
,,,,,,,,Stock,9752,,15358,12999,15328,13833,
,,,,,,90036663-3,PRIMAX 95,Sales,,5888,6285,5537,6104,6313,6469
,,,,,,,,Stock,20717,,22163,15878,21261,15158,
,,,,,,90036663-4,PRIMAX 95,Sales,,5889,6285,5537,6104,6313,6469
,,,,,,,,Stock,20717,,22163,15878,21261,15158,
,,,,,,,,,,,,,,,
,JT GEMILANG ENTERPRISE,90036675,SOUTH2,38220,,90036675-1,PRIMAX 95,Sales,6100,6150,6000,6450,6900,7150,7600
,,,,,,,,Stock,13000,20000,25000,21500,21200,26400,
,,,,,,90036675-3,PRIMAX 95,Sales,6100,6150,6000,6450,6900,7150,7600
,,,,,,,,Stock,22000,20000,18900,19850,19200,21500,
,,,,,,90036675-2,PRIMAX 97,Sales,600,650,700,790,780,720,780
,,,,,,,,Stock,5600,5000,4300,14400,13700,12800,
,,,,,,90036675-4,BIODIESEL B7 (RETAIL),Sales,2300,2000,2100,1600,1700,1800,1855
,,,,,,,,Stock,16000,13600,11000,8980,12800,11350,
,,,,,,,,,,,,,,,
,PERMATA BANGI ENTERPRISE,90036715,CENTR3,50295,,90036715-2,PRIMAX 95,Sales,7461,,7608,7075,8162,7456,7391
,,,,,,,,Stock,19114,24522,,15787,19114,9714,
,,,,,,90036715-1,PRIMAX 95,Sales,7462,,7607,7075,8162,7457,7390
,,,,,,,,Stock,13795,15021,,16246,20290,13183,
,,,,,,90036715-3,PRIMAX 97,Sales,1446,,1418,1222,1604,1499,1425
,,,,,,,,Stock,6711,5113,,13488,12191,10606,
,,,,,,90036715-4,BIODIESEL B7 (RETAIL),Sales,2197,,2324,2174,1090,1211,2308
,,,,,,,,Stock,13335,16627,,12191,10010,8835,
,,,,,,,,,,,,,,,
,MASNADI ENTERPRISE,90036725,CENTR3,42028,,90036725-4,PRIMAX 95,Sales,4724,4933,4835,5659,4930,4999,4699
,,,,,,,,Stock,22741,8991,24133,24201,24201,24133,
,,,,,,90036725-5,PRIMAX 97,Sales,1120,1453,996,1102,1212,1332,1183
,,,,,,,,Stock,12879,11759,10306,9310,8208,6996,
,,,,,,90036725-1,BIODIESEL B7 (RETAIL),Sales,1574,1959,1609,1705,1062,701,1322
,,,,,,,,Stock,8147,6573,10074,8465,6760,11158,
,,,,,,90036725-2,PRIMAX 95,Sales,4725,4933,4834,5659,4930,4999,4699
,,,,,,,,Stock,19887,19887,6249,2384,22959,9345,
,,,,,,90036725-3,PRIMAX 95,Sales,4725,4933,4835,5659,4930,4999,4698
,,,,,,,,Stock,13257,12426,23583,12878,5926,16695,
,,,,,,,,,,,,,,,
,TELAGA QAUSAR RESOURCES,90036728,CENTR3,281314,,90036728-1,PRIMAX 97,Sales,932,471,402,786,798,718,615
,,,,,,,,Stock,12267,11237,10906,10501,9714,8907,
,,,,,,90036728-3,PRIMAX 95,Sales,8106,8401,7750,8833,8802,7047,7705
,,,,,,,,Stock,14223,24832,8401,24647,6987,22552,
,,,,,,90036728-4,BIODIESEL B7 (RETAIL),Sales,14153,15563,13215,11649,13201,3550,16225
,,,,,,,,Stock,19114,16932,6918,10010,25634,23360,
,,,,,,90036728-2,PRIMAX 95,Sales,8106,8402,7751,8832,8801,7048,7704
,,,,,,,,Stock,25956,10188,20724,10831,21579,10531,
,,,,,,,,,,,,,,,
,KULIS DAGANG SERVICES,90036745,SOUTH1,81900,,90036745-1,BIODIESEL B7 (RETAIL),Sales,1603,813,1219,536,936,470,902
,,,,,,,,Stock,13335,12115,11207,10159,9862,8617,
,,,,,,90036745-2,PRIMAX 95,Sales,3370,3195,3110,3109,2085,3277,3199
,,,,,,,,Stock,17463,14101,18517,18067,16551,15634,
,,,,,,90036745-3,PRIMAX 95,Sales,3371,3194,3111,3109,2086,3277,3199
,,,,,,,,Stock,14407,11207,22552,16703,13488,24647,
,,,,,,90036745-4,PRIMAX 97,Sales,362,369,424,191,414,283,413
,,,,,,,,Stock,7546,7405,6987,6711,6538,6167,
,,,,,,,,,,,,,,,
,S & N ENTERPRISE,90036748,CENTR1,120120,,90036748-1,BIODIESEL B7 (RETAIL),Sales,9477,11795,9966,10060,10762,6271,8480
,,,,,,,,Stock,15787,15940,15940,16856,16856,13411,
,,,,,,90036748-2,PRIMAX 95,Sales,5984,6032,5692,5866,6352,5314,5933
,,,,,,,,Stock,19998,17614,25137,25016,23755,18965,
,,,,,,90036748-3,PRIMAX 95,Sales,5984,6033,5692,5866,6353,5313,5932
,,,,,,,,Stock,20290,17463,22688,22552,22959,20724,
,,,,,,90036748-4,PRIMAX 97,Sales,2145,2162,2527,1659,2161,2137,2241
,,,,,,,,Stock,10457,8401,17008,14741,12724,10756,
,,,,,,90036748-5,PRIMAX 95,Sales,5984,6032,5693,5867,6353,5314,5933
,,,,,,,,Stock,8545,12877,15174,2105,12877,12877,
,,,,,,,,,,,,,,,
,GANDA MESRA ENTERPRISE,90036751,CENTR1,38220,,90036751-3,PRIMAX 97,Sales,2397,2231,2346,2222,2497,2583,2207
,,,,,,,,Stock,9321,16851,15738,13293,11026,8408,
,,,,,,90036751-4,PRIMAX 95,Sales,7787,7514,8033,8755,8119,8426,8008
,,,,,,,,Stock,25750,17681,15216,18108,15951,17467,
,,,,,,90036751-1,PRIMAX 95,Sales,7787,7514,8033,8755,8119,8426,8008
,,,,,,,,Stock,26189,19488,17450,20871,17601,20871,
,,,,,,90036751-2,PRIMAX 95,Sales,7788,7513,8033,8755,8119,8427,8008
,,,,,,,,Stock,21830,14072,17324,19480,16038,18691,
,,,,,,90036751-5,BIODIESEL B7 (RETAIL),Sales,2346,1791,1811,2040,1553,908,1562
,,,,,,,,Stock,17681,15363,13727,17181,15290,13578,
,,,,,,,,,,,,,,,
,STY SERVICE STATION,90036754,NORTH1,65520,,90036754-1,PRIMAX 95,Sales,4851,4402,4655,4913,4873,5327,5211
,,,,,,,,Stock,20037,16760,18154,23335,23453,22918,
,,,,,,90036754-2,PRIMAX 95,Sales,4851,4402,4655,4914,4873,5328,5211
,,,,,,,,Stock,14796,20494,20286,16466,11877,1282,
,,,,,,90036754-3,PRIMAX 97,Sales,539,808,514,563,642,722,529
,,,,,,,,Stock,5154,6474,3810,3163,8289,7532,
,,,,,,90036754-4,BIODIESEL B7 (RETAIL),Sales,1759,3831,1610,2239,2073,931,1708
,,,,,,,,Stock,9010,5889,8093,16010,14056,11265,
,,,,,,,,,,,,,,,
,ZUHFY ENTERPRISE,90036781,SOUTH1,38220,,90036781-3,PRIMAX 95,Sales,6555,5874,5439,6015,6553,6881,5645
,,,,,,,,Stock,20999,17589,12159,19504,23220,16533,
,,,,,,90036781-1,BIODIESEL B7 (RETAIL),Sales,2013,1837,1680,1296,1846,1191,1917
,,,,,,,,Stock,17999,16012,14249,12564,11506,9399,
,,,,,,90036781-4,PRIMAX 95,Sales,6555,5875,5439,6015,6553,6880,5645
,,,,,,,,Stock,15825,22220,16451,19336,19652,13972,
,,,,,,90036781-2,PRIMAX 97,Sales,537,579,620,716,876,701,490
,,,,,,,,Stock,15416,14999,14178,13486,12941,12144,
,,,,,,,,,,,,,,,
,CAHAYA DELIMA MESRA,90036800,SOUTH2,43680,,90036800-1,PRIMAX 95,Sales,2467,2553,2571,2682,2647,2499,2520
,,,,,,,,Stock,18429,18954,20667,17417,16817,13538,
,,,,,,90036800-3,,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90036800-4,BIODIESEL B7 (RETAIL),Sales,1968,4815,1962,2729,3266,1718,2813
,,,,,,,,Stock,16923,14617,15583,13550,20985,18046,
,,,,,,90036800-2,PRIMAX 95,Sales,2468,2554,2570,2682,2648,2499,2519
,,,,,,,,Stock,20923,16133,20200,18367,18400,16308,
,,,,,,,,,,,,,,,
,KK PETROL STATION,90036809,CENTR1,81900,,90036809-5,PRIMAX 95,Sales,6855,7374,6119,7771,6720,6226,7730
,,,,,,,,Stock,22414,11312,20680,14177,14361,25876,
,,,,,,90036809-3,PRIMAX 95,Sales,6855,7374,6119,7770,6721,6226,7730
,,,,,,,,Stock,21790,20580,10218,21999,18771,19749,
,,,,,,90036809-4,PRIMAX 97,Sales,1808,1486,1017,1098,1528,1390,1551
,,,,,,,,Stock,10159,8603,7405,6302,16093,14867,
,,,,,,90036809-1,BIODIESEL B7 (RETAIL),Sales,4496,4922,3899,3960,4118,1767,3310
,,,,,,,,Stock,23884,18463,14343,15441,15965,18167,
,,,,,,90036809-2,PRIMAX 95,Sales,6855,7374,6118,7770,6721,6226,7730
,,,,,,,,Stock,23227,14407,16657,20868,13183,13549,
,,,,,,,,,,,,,,,
,DD & BATCHA ENTERPRISE,90036834,SOUTH2,10920,,90036834-3,PRIMAX 97,Sales,1248,1805,2531,1846,1276,2398,1098
,,,,,,,,Stock,16948,15752,13967,11369,9554,13884,
,,,,,,90036834-4,BIODIESEL B7 (RETAIL),Sales,1161,998,684,1110,1210,1087,669
,,,,,,,,Stock,6822,5721,5003,10116,9506,8290,
,,,,,,90036834-2,PRIMAX 95,Sales,4065,4448,4032,3961,5015,5405,5550
,,,,,,,,Stock,22322,18749,22700,21611,21937,22377,
,,,,,,90036834-1,PRIMAX 95,Sales,4065,4448,4032,3961,5014,5404,5550
,,,,,,,,Stock,8339,20562,24006,17102,19741,9372,
,,,,,,,,,,,,,,,
,RIZQUN KARIM ENTERPRISE,90036837,SOUTH1,0,,90036837-1,BIODIESEL B7 (RETAIL),Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90036837-3,PRIMAX 95,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90036837-4,PRIMAX 95,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90036837-2,PRIMAX 97,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,,,,,,,,,,
,DAKAP TUAH RESOURCES,90036878,SOUTH2,60060,,90036878-1,BIODIESEL B7 (RETAIL),Sales,4163,4114,4507,4023,3385,808,5277
,,,,,,,,Stock,18828,14702,10272,16713,12805,9247,
,,,,,,90036878-2,PRIMAX 97,Sales,620,916,1106,821,1157,1108,1255
,,,,,,,,Stock,11304,10624,9954,8730,7123,6667,
,,,,,,90036878-3,PRIMAX 95,Sales,5962,5979,6372,6330,5875,6128,5431
,,,,,,,,Stock,23463,21940,15473,18838,11850,5145,
,,,,,,90036878-4,PRIMAX 95,Sales,5961,5979,6373,6330,5876,6128,5431
,,,,,,,,Stock,21029,21350,16010,21064,15863,10365,
,,,,,,,,,,,,,,,
,KEMPAS SMART KIOSK,90036910,SOUTH2,43680,,90036910-1,PRIMAX 95,Sales,3670,3518,3771,3520,3851,3969,4060
,,,,,,,,Stock,21595,21198,19623,22977,17229,17079,
,,,,,,90036910-3,PRIMAX 97,Sales,639,544,481,349,583,453,546
,,,,,,,,Stock,11167,10483,9921,9462,9115,8463,
,,,,,,90036910-4,BIODIESEL B7 (RETAIL),Sales,1824,1968,1075,2097,1506,1528,1359
,,,,,,,,Stock,16134,14207,12318,10716,8756,7306,
,,,,,,90036910-2,PRIMAX 95,Sales,3671,3518,3772,3520,3851,3970,4060
,,,,,,,,Stock,17779,10447,21509,21227,19460,11737,
,,,,,,,,,,,,,,,
,FS HERITAGE ENTERPRISE,90036953,CENTR1,32760,,90036953-4,BIODIESEL B7 (RETAIL),Sales,,2124,1910,1504,1806,787,1792
,,,,,,,,Stock,,,11148,9300,13505,11376,
,,,,,,90036953-2,PRIMAX 95,Sales,,3893,3765,4098,3391,3061,4020
,,,,,,,,Stock,,,23959,20641,23299,16109,
,,,,,,90036953-1,PRIMAX 97,Sales,,1063,953,524,779,849,623
,,,,,,,,Stock,,,7564,6643,6164,5333,
,,,,,,90036953-3,PRIMAX 95,Sales,,3893,3764,4099,3390,3061,4020
,,,,,,,,Stock,,,15765,11982,22822,22557,
,,,,,,,,,,,,,,,
,DELL KIOSK,90036976,CENTR1,120120,,90036976-1,BIODIESEL B7 (RETAIL),Sales,3708,5299,,4026,4366,3074,4936
,,,,,,,,Stock,14634,16447,11130,,12619,13663,
,,,,,,90036976-6,BIODIESEL B7 EURO5 (RETAIL),Sales,395,1035,,1384,1411,641,1034
,,,,,,,,Stock,9383,19856,18358,,16267,14967,
,,,,,,90036976-3,PRIMAX 95,Sales,4109,3953,,4214,3951,2948,2725
,,,,,,,,Stock,17993,11561,8765,,11567,12753,
,,,,,,90036976-2,PRIMAX 97,Sales,936,862,,703,663,765,696
,,,,,,,,Stock,7213,6263,5368,,9555,8769,
,,,,,,90036976-4,PRIMAX 95,Sales,4110,3954,,4214,3950,2948,2724
,,,,,,,,Stock,4293,6138,10064,,6986,9091,
,,,,,,90036976-5,PRIMAX 95,Sales,4110,3953,,4215,3951,2949,2725
,,,,,,,,Stock,3699,6138,9944,,8585,9777,
,,,,,,,,,,,,,,,
,CGT RESOURCES,90036990,CENTR1,103740,,90036990-2,PRIMAX 95,Sales,4286,4594,4161,4587,4306,3407,4478
,,,,,,,,Stock,24089,19792,15381,22334,17493,12839,
,,,,,,90036990-4,PRIMAX 97,Sales,504,420,430,831,385,411,442
,,,,,,,,Stock,7474,6925,6655,6120,5288,4894,
,,,,,,90036990-5,PRIMAX 95,Sales,4287,4594,4161,4587,4306,3407,4479
,,,,,,,,Stock,21335,17022,12316,24316,19043,15009,
,,,,,,90036990-1,BIODIESEL B7 (RETAIL),Sales,6078,5178,5936,5973,3964,1051,6647
,,,,,,,,Stock,21610,15757,21473,20843,14904,11058,
,,,,,,90036990-3,PRIMAX 95,Sales,4286,4594,4161,4588,4306,3406,4479
,,,,,,,,Stock,24849,20641,16350,22630,18664,14635,
,,,,,,,,,,,,,,,
,PUTERAMER ENTERPRISE,90037017,SOUTH1,109200,,90037017-1,BIODIESEL B7 (RETAIL),Sales,4249,4639,5045,4859,5084,2950,4009
,,,,,,,,Stock,22994,18530,18769,18981,14316,10391,
,,,,,,90037017-2,PRIMAX 95,Sales,9071,8554,8558,8830,9855,10185,8632
,,,,,,,,Stock,27000,23020,18981,20409,12830,10239,
,,,,,,90037017-3,PRIMAX 95,Sales,9071,8553,8558,8831,9855,10185,8632
,,,,,,,,Stock,15089,19623,19937,18136,1805,10644,
,,,,,,90037017-4,PRIMAX 95,Sales,9070,8554,8557,8831,9854,10185,8633
,,,,,,,,Stock,21208,21208,25682,22341,19522,11013,
,,,,,,90037017-5,PRIMAX 97,Sales,2314,2577,1827,2255,3441,3033,2276
,,,,,,,,Stock,20037,17767,15291,13482,10926,7650,
,,,,,,,,,,,,,,,
,STESEN MINYAK ALAM KASTURI,90037025,SOUTH2,54600,,90037025-3,PRIMAX 95,Sales,8041,6524,6983,7349,8281,7874,7070
,,,,,,,,Stock,21869,10225,10183,21782,8012,7365,
,,,,,,90037025-4,BIODIESEL B7 (RETAIL),Sales,2718,2082,1779,1296,1367,1228,2001
,,,,,,,,Stock,14636,15415,13283,11493,10202,14333,
,,,,,,90037025-2,PRIMAX 95,Sales,8041,6524,6984,7348,8281,7873,7070
,,,,,,,,Stock,12999,23671,13074,22221,18941,14954,
,,,,,,90037025-1,PRIMAX 95,Sales,8041,6523,6984,7348,8281,7873,7070
,,,,,,,,Stock,25249,20642,12246,14393,10662,16454,
,,,,,,,,,,,,,,,
,EQA PETROMART,90037072,SOUTH2,60060,,90037072-2,PRIMAX 97,Sales,650,360,440,400,360,160,400
,,,,,,,,Stock,14700,14100,13800,13200,12800,12550,
,,,,,,90037072-1,PRIMAX 95,Sales,2475,2525,2550,2500,2175,1850,2550
,,,,,,,,Stock,15270,10550,5000,15000,15000,15000,
,,,,,,90037072-3,PRIMAX 95,Sales,2475,2525,2550,2500,2175,1850,2550
,,,,,,,,Stock,14600,14600,14600,9500,5000,17000,
,,,,,,90037072-4,BIODIESEL B7 (RETAIL),Sales,5650,4450,5850,4200,4200,1850,4800
,,,,,,,,Stock,16550,8100,15500,15000,12000,18900,
,,,,,,,,,,,,,,,
,TASIK MUTIARA SERVICES,90037089,NORTH2,191100,,90037089-2,PRIMAX 95,Sales,7000,7000,7000,6500,7000,7500,7500
,,,,,,,,Stock,22000,12000,21000,27000,16000,24000,
,,,,,,90037089-3,PRIMAX 95,Sales,7000,7000,7000,6500,7000,7500,7500
,,,,,,,,Stock,9500,24500,16400,5700,22800,14500,
,,,,,,90037089-4,BIODIESEL B7 (RETAIL),Sales,3000,5000,4000,3000,4000,4000,2000
,,,,,,,,Stock,10000,14000,14000,14500,14500,13000,
,,,,,,90037089-1,PRIMAX 97,Sales,900,900,900,700,700,1000,900
,,,,,,,,Stock,9000,8000,7000,6000,10800,10000,
,,,,,,,,,,,,,,,
,NEKUCHEE RESOURCES,90037135,NORTH2,54600,,90037135-4,PRIMAX 95,Sales,6242,6625,5824,7281,6418,4756,6540
,,,,,,,,Stock,9293,17934,14976,18973,18750,21871,
,,,,,,90037135-5,PRIMAX 95,Sales,6241,6626,5824,7281,6419,4756,6539
,,,,,,,,Stock,17160,18220,21075,18160,15746,11887,
,,,,,,90037135-2,BIODIESEL B7 (RETAIL),Sales,2189,2828,2650,2295,2005,922,2343
,,,,,,,,Stock,14413,10694,9352,8200,12142,8293,
,,,,,,90037135-1,BIODIESEL B7 (RETAIL),Sales,2189,2829,2649,2294,2004,923,2342
,,,,,,,,Stock,10561,16022,10769,12350,7971,6904,
,,,,,,90037135-3,PRIMAX 95,Sales,6242,6625,5825,7281,6418,4757,6539
,,,,,,,,Stock,14842,18214,19423,16346,16280,17287,
,,,,,,,,,,,,,,,
,AZAM MESRA DUA ENTERPRISE,90037226,CENTR1,27300,,90037226-1,PRIMAX 95,Sales,7259,7346,8934,8727,8870,8208,7828
,,,,,,,,Stock,16575,22938,24519,18283,10779,17209,
,,,,,,90037226-2,PRIMAX 95,Sales,7260,7345,8935,8728,8869,8208,7828
,,,,,,,,Stock,22443,17541,18981,22585,13770,4947,
,,,,,,90037226-3,PRIMAX 97,Sales,1713,1551,1731,1773,1948,1514,1566
,,,,,,,,Stock,9699,8140,17642,15138,13542,11848,
