Historical Sales,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Customer,Id,Region,Diesel Quota,,Tanks,Product,,04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016
,ORIENT SERVICE STATION,90000244,NORTH2,289380,,90000244-2,PRIMAX 95,Sales,3500,,4500,,,,
,,,,,,,,Stock,,16000,,13000,,,
,,,,,,90000244-3,BIODIESEL B7 (RETAIL),Sales,3000,,4500,,,,
,,,,,,,,Stock,,20000,,20000,,,
,,,,,,90000244-1,PRIMAX 95,Sales,3500,,4500,,,,
,,,,,,,,Stock,,20000,,20000,,,
,,,,,,90000244-4,BIODIESEL B7 (RETAIL),Sales,3000,,4500,,,,
,,,,,,,,Stock,,13000,,7000,,,
,,,,,,,,,,,,,,,
,PETROBINA ENTERPRISE,90000246,NORTH1,229320,,90000246-1,PRIMAX 95,Sales,3237,3169,3342,3522,2122,1081,3330
,,,,,,,,Stock,19737,13219,13219,24194,24194,19885,
,,,,,,90000246-3,BIODIESEL B7 (RETAIL),Sales,9750,7955,9842,8599,6601,5352,6805
,,,,,,,,Stock,21212,11448,14401,15399,17685,21961,
,,,,,,90000246-2,PRIMAX 95,Sales,3238,3170,3343,3522,2121,1081,3330
,,,,,,,,Stock,21834,21834,15419,14184,7104,12580,
,,,,,,,,,,,,,,,
,STN PERKHIDMATAN B PULAU,90000248,NORTH1,70980,,90000248-4,PRIMAX 95,Sales,6940,6960,7445,6900,7380,5710,7430
,,,,,,,,Stock,11570,18610,18610,14640,21560,21020,
,,,,,,90000248-1,BIODIESEL B7 (RETAIL),Sales,2670,3210,2000,1090,1290,980,930
,,,,,,,,Stock,20400,17730,14520,12520,16890,21060,
,,,,,,90000248-2,PRIMAX 97,Sales,680,670,630,580,1060,670,710
,,,,,,,,Stock,16080,15400,15330,14700,14120,13060,
,,,,,,90000248-3,PRIMAX 95,Sales,6940,6960,7445,6900,7380,5710,7430
,,,,,,,,Stock,22960,23880,9960,20880,16540,18700,
,,,,,,,,,,,,,,,
,SYARIKAT CHAHAYA BAHAGIA,90000561,SOUTH2,54600,,90000561-1,PRIMAX 95,Sales,5000,5183,5350,5300,6913,5900,5350
,,,,,,,,Stock,,17799,7431,727,11492,23662,
,,,,,,90000561-4,BIODIESEL B7 (RETAIL),Sales,3200,3270,3100,2400,2261,1300,2682
,,,,,,,,Stock,,19680,16410,13135,16024,19223,
,,,,,,90000561-2,PRIMAX 95,Sales,5000,5184,5350,5300,6913,5900,5350
,,,,,,,,Stock,,20193,20193,16097,10966,17729,
,,,,,,90000561-3,PRIMAX 97,Sales,400,593,380,450,571,600,621
,,,,,,,,Stock,,8469,7876,7485,7025,6417,
,,,,,,,,,,,,,,,
,STESEN SERVIS SUHANI,90000571,SOUTH2,120120,,90000571-4,BIODIESEL B7 (RETAIL),Sales,6343,6147,6167,5814,5155,3571,7538
,,,,,,,,Stock,25094,17079,10781,15750,15167,20819,
,,,,,,90000571-2,PRIMAX 95,Sales,6052,6039,5912,6234,6273,7051,6011
,,,,,,,,Stock,16048,22701,20570,8970,17172,23514,
,,,,,,90000571-1,PRIMAX 95,Sales,6052,6038,5911,6234,6273,7051,6011
,,,,,,,,Stock,25236,14800,4340,26215,21504,18946,
,,,,,,90000571-3,PRIMAX 97,Sales,1068,1365,1456,1211,1479,2518,1425
,,,,,,,,Stock,12397,15541,14197,12619,11469,15214,
,,,,,,,,,,,,,,,
,FELDA TRADING SDN BHD,90000573,SOUTH2,65520,,90000573-3,PRIMAX 95,Sales,2734,2767,3000,3166,3733,3434,2834
,,,,,,,,Stock,10500,12600,16900,13300,10400,15500,
,,,,,,90000573-1,PRIMAX 95,Sales,2733,2767,3000,3167,3733,3433,2833
,,,,,,,,Stock,16800,16800,16800,16800,16800,16800,
