Tahun,Minggu,Negeri,Daerah/Zon/PBT,Lokaliti,Jumlah Kes Terkumpul,Tempoh Wabak Berlaku (Hari)
2013,43,Selangor,Hulu Langat,Jalan 3/5A-K Seksyen 3 Bandar Baru Bangi,12,34
2013,43,Selangor,Hulu Langat,Seksyen 7 Bandar Sri Putra,6,34
2013,43,Selangor,Petaling,Pju 5 Seksyen  5,6,34
2013,43,Selangor,Petaling,Pusat Bandar Puchong (Jalan Wawasan 2),7,34
2013,43,Selangor,Gombak,Apatrment Laksaman,7,34
2013,43,Selangor,Petaling,"Pju 10 Apartment Harmoni 2  ( D,E,F,G,H,J,K,T,S,R )",6,33
2013,43,Selangor,Gombak,Bandar Baru Selayang Fasa 1 (Zon 2),12,33
2013,43,Selangor,Hulu Langat,Jalan 8/16-23 Seksyen 8 Bandar Baru Bangi,14,32
2013,43,Selangor,Petaling,Pusat Bandar Puchong 5 ( Sri Jati ),6,32
2013,43,Selangor,Petaling,Pjs 9 Lagoon Perdana,9,32
2013,43,Selangor,Gombak,Taman Rasmi Jaya Zon 2,12,31
2013,43,Selangor,Hulu Langat,"Jalan 6/9,6/10,6/11 & 6/14 Tasik Tambahan",13,31
2013,43,Selangor,Hulu Langat,Apartment Taman Anggerik Villa,6,31
2013,43,Selangor,Petaling,Seksyen  3 Uitm Shah Alam Kolej Jati,7,31
2013,44,Selangor,Petaling,"Pjs 8 Mentari Court  1 (Blok A, B, C,D)",101,139
2013,44,Selangor,Petaling,"Seksyen 7 Shah Alam Flat A (Blok 1-Blok 12 & Blok 38
- Blok 43)",121,118
2013,44,Selangor,Petaling,Seksyen 7 Shah Alam Flat C (Blok 44 - Blok 51),57,111
2013,44,Selangor,Petaling,Seksyen 7 Shah Alam Flat B (Blok 13 - Blok 37 ),69,97
2013,44,Selangor,Petaling,"Seksyen 7 Shah Alam Teres B Zon A (Jln 7/29-7/30, Unisel & Jln A7/A-F7/F)",37,91
2013,44,Selangor,Gombak,Tmn Desa Jaya Zon 6,27,76
2013,44,Selangor,Petaling,Seksyen 7 Shah Alam Teres B Zon B (Jln 7/24-7/27),34,75
2013,44,Selangor,Petaling,Upm Serdang Kolej 17,34,75
2013,44,Selangor,Petaling,Ss 2 (Timur),20,71
2013,44,Selangor,Hulu Langat,Jalan 2 Taman Impian Putra,78,69
2013,44,Selangor,Petaling,Ss 2 (Selatan),25,67
2013,44,Selangor,Petaling,Seksyen 7 Shah Alam Teres A Zon A (Jln 7/11-7/22),19,65
2013,44,Selangor,Hulu Langat,Jln 3/13A-C Seksyen 3 Taman Kajang Utama,18,64
2013,44,Selangor,Hulu Langat,Apartment Seksyen 1 Bandar Teknologi,27,61
2013,44,Selangor,Petaling,Ss 22,11,59
2013,44,Selangor,Petaling,"Pju 8 Apartment Flora Damansara 2 (Blok C, D, E, F)",12,58
2013,44,Selangor,Hulu Langat,Jalan 8/1-15 Seksyen 8 Bandar Baru Bangi,23,54
2013,44,Selangor,Petaling,Seksyen 1 Petaling Jaya,26,54
2013,44,Selangor,Petaling,"Pju 10 Apartment Saujana 1 ( Blok A,B,C,D,E,F,L,M )",13,54
2013,44,Selangor,Hulu Langat,Flat Sri Nilam Bandar Baru Ampang,25,53
2013,44,Selangor,Hulu Langat,Seksyen 5 Bandar Rinching,15,51
2013,44,Selangor,Petaling,Taman Puchong Utama 2,16,50
2013,44,Selangor,Hulu Langat,Apartment Taman Bukit Kenangan,9,49
2013,44,Selangor,Hulu Langat,Apartment Seraya Taman Kajang Utama,15,48
2013,44,Selangor,Petaling,"Pju 3 Kondo Palm Spring 2 (Blok D, E,& F)",10,48
2013,44,Selangor,Gombak,Taman Rasmi Jaya Zon 1,27,47
2013,44,Selangor,Hulu Langat,Seksyen 2 Bandar Rinching,17,46
2013,44,Selangor,Gombak,Bandar Tasik Puteri Fasa 7 Zon 1,15,46
2013,44,Selangor,Gombak,Taman Bukit Indah Fasa 1 Zon 1,10,46
2013,44,Selangor,Hulu Langat,Apartment Persona Taman Kajang Utama,10,45
2013,44,Selangor,Hulu Langat,Pangsapuri Mewah Taman Sri Mewah,9,45
2013,44,Selangor,Sepang,Taman Desa Sentosa,87,44
2013,44,Selangor,Hulu Langat,Jalan 7/3 Seksyen 7 Bandar Baru Bangi,16,42
2013,44,Selangor,Gombak,Taman Kelab Ukay,9,42
2013,44,Selangor,Hulu Langat,City Garden Palm Villa Kondo Taman Cempaka,32,41
2013,44,Selangor,Hulu Langat,Batu 12 1/2 Jalan Cheras - Kajang,10,41
2013,44,Selangor,Hulu Langat,Jalan 3/5A-K Seksyen 3 Bandar Baru Bangi,13,41
2013,44,Selangor,Petaling,Pju 5 Seksyen  5,10,41
2013,44,Selangor,Gombak,Apatrment Laksaman,8,41
2013,44,Selangor,Hulu Langat,Seksyen 7 Bandar Sri Putra,7,41
2013,44,Selangor,Gombak,Bandar Baru Selayang Fasa 1 (Zon 2),13,40
2013,44,Selangor,Hulu Langat,Jalan 8/16-23 Seksyen 8 Bandar Baru Bangi,14,39
2013,44,Selangor,Petaling,Pusat Bandar Puchong 5 ( Sri Jati ),7,39
2013,44,Selangor,Petaling,Pjs 9 Lagoon Perdana,11,39
2013,44,Selangor,Gombak,Taman Rasmi Jaya Zon 2,14,38
2013,44,Selangor,Hulu Langat,"Jalan 6/9,6/10,6/11 & 6/14 Tasik Tambahan",13,38
2013,44,Selangor,Hulu Langat,Apartment Taman Anggerik Villa,6,38
2013,44,Selangor,Petaling,Seksyen  3 Uitm Shah Alam Kolej Jati,8,38
2013,44,Selangor,Hulu Langat,Pangsapuri Mewah Taman Damai Mewah,9,38
2013,44,Selangor,Hulu Langat,Jalan Nirwana 1-17 Taman Nirwana,15,37
2013,44,Selangor,Hulu Langat,Jalan Teratai 2/7A-2/7N Taman Bukit Teratai,5,37
2013,44,Selangor,Petaling,Seksyen 7E B Pusat Komersial (Jalan Aa7/Aa & Ac7/Ac & Jln U7/U - Z7/Z),13,37
2013,44,Selangor,Petaling,Ss 5A ( 2 ),4,37
2013,44,Selangor,Sepang,Taman Emas,37,37
2013,44,Selangor,Gombak,Bdr Baru Selayang Fasa 1 (Zon 3),7,36
2013,44,Selangor,Petaling,Seksyen 2 Petaling Jaya,6,35
2013,44,Selangor,Petaling,Ss 19/1 Subang Jaya,13,35
2013,44,Selangor,Hulu Langat,Pangsapuri Delima Taman Pinggiran Delima,11,34
2013,44,Selangor,Petaling,Pjs 10 Kondo Ridzuan,9,34
2013,44,Selangor,Petaling,Pju 9 Sd 7,13,34
2013,44,Selangor,Petaling,Batu 13 Kg Sri Aman (Lorong Aman 1 ),7,34
2013,44,Selangor,Gombak,Taman  Greenwood Zon 1,10,33
2013,44,Selangor,Hulu Langat,Taman Semenyeh Jaya,7,33
2013,44,Selangor,Petaling,Seksyen 27 Apartment Ixora,19,33
2013,44,Selangor,Petaling,Pjs 2C Flat Taman Medan Cahaya,6,33
2013,44,Selangor,Petaling,Pjs 2C Taman Medan,9,33
2013,44,Selangor,Hulu Langat,Jalan 4/9 Seksyen 4 Bandar Baru Bangi,6,32
2013,44,Selangor,Petaling,Seksyen U4 Pangsapuri Damai,9,32
2013,44,Selangor,Petaling,Seksyen U5 Pangsapuri Subang Suria,6,32
2013,44,Selangor,Petaling,Bandar Bukit Puchong 1 (Flat Bandar Bukit Puchong),7,32
2013,44,Selangor,Petaling,Taman Puchong Prima 1,5,32
2013,44,P. Pinang,Barat Daya,Lebuh Bukit Kecil,9,31
2013,45,Selangor,Petaling,"Pjs 8 Mentari Court  1 (Blok A, B, C,D)",106,146
2013,45,Selangor,Petaling,Seksyen 7 Shah Alam Flat A (Blok 1-Blok 12 & Blok 38 - Blok 43),134,125
2013,45,Selangor,Petaling,Seksyen 7 Shah Alam Flat C (Blok 44 - Blok 51),62,118
2013,45,Selangor,Petaling,Seksyen 7 Shah Alam Flat B (Blok 13 - Blok 37 ),71,104
2013,45,Selangor,Petaling,"Seksyen 7 Shah Alam Teres B Zon A (Jln 7/29-7/30, Unisel & Jln A7/A-F7/F)",40,98
2013,45,Selangor,Petaling,Upm Serdang Kolej 17,34,82
2013,45,Selangor,Petaling,Seksyen 7 Shah Alam Teres B Zon B (Jln 7/24-7/27),38,82
2013,45,Selangor,Petaling,Ss 2 (Timur),26,78
2013,45,Selangor,Hulu Langat,Jalan 2 Taman Impian Putra,78,76
2013,45,Selangor,Petaling,Ss 2 (Selatan),28,74
2013,45,Selangor,Petaling,Seksyen 7 Shah Alam Teres A Zon A (Jln 7/11-7/22),21,72
2013,45,Selangor,Hulu Langat,Apartment Seksyen 1 Bandar Teknologi,28,68
2013,45,Selangor,Petaling,Ss 22,12,66
2013,45,Selangor,Petaling,"Pju 8 Apartment Flora Damansara 2 (Blok C, D, E, F)",13,65
2013,45,Selangor,Hulu Langat,Jalan 8/1-15 Seksyen 8 Bandar Baru Bangi,26,61
2013,45,Selangor,Petaling,Seksyen 1 Petaling Jaya,29,61
2013,45,Selangor,Hulu Langat,Flat Sri Nilam Bandar Baru Ampang,30,60
2013,45,Selangor,Hulu Langat,Seksyen 5 Bandar Rinching,15,58
2013,45,Selangor,Petaling,Taman Puchong Utama 2,17,57
2013,45,Selangor,Petaling,"Pju 8 Apartment Flora Damansara 1 (Blok A ,B)",6,55
2013,45,Selangor,Hulu Langat,Apartment Seraya Taman Kajang Utama,15,55
2013,45,Selangor,Gombak,Taman Rasmi Jaya Zon 1,29,54
2013,45,Selangor,Hulu Langat,Seksyen 2 Bandar Rinching,17,53
2013,45,Selangor,Gombak,Bandar Tasik Puteri Fasa 7 Zon 1,17,53
2013,45,Selangor,Gombak,Taman Bukit Indah Fasa 1 Zon 1,11,53
2013,45,Selangor,Hulu Langat,Apartment Persona Taman Kajang Utama,12,52
2013,45,Selangor,Sepang,Taman Desa Sentosa,88,51
2013,45,Selangor,Hulu Langat,Jalan 7/3 Seksyen 7  Bandar Baru Bangi,16,49
2013,45,Selangor,Gombak,Taman Kelab Ukay,9,49
2013,45,Selangor,Hulu Langat,City Garden Palm Villa Kondo Taman Cempaka,35,48
2013,45,Selangor,Hulu Langat,Batu 12 1/2 Jalan Cheras - Kajang,13,48
2013,45,Selangor,Hulu Langat,Jalan 3/5A-K Seksyen 3 Bandar Baru Bangi,13,48
2013,45,Selangor,Petaling,Pju 5 Seksyen  5,11,48
2013,45,Selangor,Hulu Langat,Seksyen 7 Bandar Sri Putra,8,48
2013,45,Selangor,Gombak,Apatrment Laksaman,8,48
2013,45,Selangor,Gombak,Bandar Baru Selayang Fasa 1 (Zon 2),13,47
2013,45,Selangor,Petaling,Pjs 9 Lagoon Perdana,13,46
2013,45,Selangor,Petaling,Pusat Bandar Puchong 5 ( Sri Jati ),9,46
2013,45,Selangor,Gombak,Taman Rasmi Jaya Zon 2,14,45
2013,45,Selangor,Petaling,Seksyen  3 Uitm Shah Alam Kolej Jati,10,45
2013,45,Selangor,Hulu Langat,Pangsapuri Mewah Taman Damai Mewah,10,45
2013,45,Selangor,Hulu Langat,"Jalan 6/9,6/10,6/11 & 6/14 Tasek Tambahan",14,45
2013,45,Selangor,Hulu Langat,Jalan Nirwana 1-17 Taman Nirwana,16,44
2013,45,Selangor,Sepang,Taman Emas,39,44
2013,45,Selangor,Petaling,Seksyen 7E B Pusat Komersial (Jalan Aa7/Aa & Ac7/Ac & Jln U7/U - Z7/Z),17,44
2013,45,Selangor,Petaling,Ss 19/1 Subang Jaya,16,42
2013,45,Selangor,Petaling,Seksyen 2 Petaling Jaya,7,42
2013,45,Selangor,Hulu Langat,Pangsapuri Delima Taman Pinggiran Delima,13,41
2013,45,Selangor,Petaling,Pjs 10 Kondo Ridzuan,10,41
2013,45,Selangor,Petaling,Pju 9 Sd 7,18,41
2013,45,Selangor,Gombak,Apartment Residensi Bistaria,9,41
2013,45,Selangor,Petaling,Seksyen 27 Apartment Ixora,21,40
2013,45,Selangor,Petaling,Pjs 2C Flat Taman Medan Cahaya,7,40
2013,45,Selangor,Petaling,Pjs 2C Taman Medan,11,40
2013,45,Selangor,Hulu Langat,Jalan 4/9 Seksyen 4 Bandar Baru Bangi,10,39
2013,45,Selangor,Petaling,Seksyen U5 Pangsapuri Subang Suria,10,39
2013,45,Selangor,Petaling,Bandar  Bukit Puchong 1 (Flat Bandar Bukit Puchong),8,39
2013,45,Selangor,Hulu Langat,Apartment Sri Pinang Taman Nirwana,21,37
2013,45,Selangor,Hulu Langat,Jalan Cempaka 2-7 Taman Cempaka,15,37
2013,45,Selangor,Hulu Langat,Jalan Suasana 2 Bandar Tun Hussein Onn,5,37
2013,45,Selangor,Hulu Langat,Jalan Tps 3 Taman Pelangi Semenyih,22,37
2013,45,Selangor,Hulu Langat,Seksyen 1 Bandar Rinching,6,37
2013,45,Selangor,Petaling,Seksyen 7 Shah Alam Teres B Zon C (Jalan 7/31 - 7/35),31,37
2013,45,Selangor,Petaling,Ss 3 ( Taman Universiti ),16,35
2013,45,Selangor,Hulu Langat,Apartment Taman Bukit Mutiara,9,35
2013,45,Selangor,Petaling,Taman Puchong Permai (Jalan A28 - A36 ),5,34
2013,45,Selangor,Hulu Langat,Jalan 4C/1-4C/3 Bandar Tasik Kesuma,10,34
2013,45,Selangor,Hulu Langat,Jalan Tkp 1-14 Taman Kantan Permai,6,34
2013,45,Selangor,Petaling,Seksyen U5 Subang Murni (Teres A),5,34
2013,45,Selangor,Petaling,Taman Equine (Jalan Putra Permai 2),7,34
2013,45,Selangor,Petaling,"Pjs 6 Flat Desa Mentari 2
(Blok 4, 5 , 6)",5,33
2013,45,Selangor,Hulu Langat,"Jalan 8,15,17&14A Taman Cempaka",8,33
2013,45,Selangor,Hulu Langat,Jalan 9/9A-M Seksyen 9 Bandar Baru Bangi,17,33
2013,45,Selangor,Hulu Langat,Jalan 15/1 Seksyen 15 Bandar Bari Bangi,18,32
2013,45,Selangor,Hulu Langat,Seksyen 6 Bandar Sri Putra,19,32
2013,45,Selangor,Petaling,Seksyen 8 Teres B2 (Jalan 8/14 - Jalan 8/28),10,31
2013,45,Selangor,Petaling,"Pju 5 Sek 11 Gugusan Dedap
2 (Blok 6-10)",11,31
2013,45,Selangor,Petaling,Pju 5 Seksyen 6 Gugusan Tanjung,7,31
2013,45,Selangor,Gombak,Taman Sunway Batu Caves,4,31
2013,46,Selangor,Petaling,"Pjs 8 Mentaricourt 1 (Blok A, B, C,D)",109,153
2013,46,Selangor,Petaling,Seksyen 7 Shah Alam Flat A (Blok 1-Blok 12 & Blok 38 - Blok 43),148,132
2013,46,Selangor,Petaling,Seksyen 7 Shah Alam Flat C (Blok 44 - Blok 51),64,125
2013,46,Selangor,Petaling,Seksyen 7 Shah Alam Flat B (Blok 13 - Blok 37),72,111
2013,46,Selangor,Petaling,"Seksyen 7 Shah Alam Teres B Zon A (Jln 7/29- 7/30, Unisel &Jln A7/A- F7/F)",41,105
2013,46,Selangor,Petaling,Seksyen 7 Shah Alam Teres B Zon B (Jln 7/24- 7/27),39,89
2013,46,Selangor,Petaling,Ss 2 (Timur),27,85
2013,46,Selangor,Petaling,Ss 2 (Selatan),29,81
2013,46,Selangor,Petaling,Seksyen 7 Shah Alam Teres A Zon A (Jln 7/11- 7/22),24,79
2013,46,Selangor,Petaling,Ss 22,13,73
2013,46,Selangor,Hulu Langat,Jalan 8/1-15 Seksyen 8 Bandar Baru Bangi,28,68
2013,46,Selangor,Petaling,Seksyen 1 Petaling Jaya,29,68
2013,46,Selangor,Hulu Langat,Flat Sri Nilam Bandar Baru Ampang,33,67
2013,46,Selangor,Gombak,Bandar Tasik Puteri Fasa 7 Zon 1,17,60
2013,46,Selangor,Gombak,Taman Bukit Indah Fasa 1 Zon 1,11,59
2013,46,Selangor,Hulu Langat,Seksyen 2 Bandar Rinching,20,60
2013,46,Selangor,Hulu Langat,Apartmentpersona Taman Kajang Utama,14,59
2013,46,Selangor,Sepang,Taman Desa Sentosa,96,58
2013,46,Selangor,Hulu Langat,Jalan 7/3 Seksyen 7 Bandar Baru Bangi,20,56
2013,46,Selangor,Hulu Langat,Citygardenpalmvillakond O Taman Cempaka,38,55
2013,46,Selangor,Hulu Langat,Batu 12 1/2 Jalan Cheras - Kajang,13,55
2013,46,Selangor,Hulu Langat,Seksyen 7 Bandar Sri Putra,9,55
2013,46,Selangor,Petaling,Pjs 9 Lagoon Perdana,14,53
2013,46,Selangor,Petaling,Pusat Bandar Puchong 5 ( Sri Jati ),10,53
2013,46,Selangor,Hulu Langat,Pangsapuri Mewah Taman Damai Mewah,10,52
2013,46,Selangor,Hulu Langat,"Jalan 6/9,6/10,6/11 & 6/14 Tasek Tambahan",15,52
2013,46,Selangor,Petaling,Seksyen  3 Uitm Shah Alam Kolej Jati,14,52
2013,46,Selangor,Hulu Langat,Jalan Nirwana 1-17 Taman Nirwana,18,51
2013,46,Selangor,Petaling,"Seksyen 7E B Pusat Komersial (Jalan Aa7/Aa
& Ac7/Ac & Jln U7/U - Z7/Z)",20,51
2013,46,Selangor,Petaling,Ss 19/1 Subang Jaya,16,49
2013,46,Selangor,Petaling,Seksyen 2 Petaling Jaya,8,49
2013,46,Selangor,Hulu Langat,Pangsapuri Delima Taman Pinggiran Delima,14,48
2013,46,Selangor,Petaling,Pjs 10 Kondo Ridzuan,13,48
2013,46,Selangor,Petaling,Pju 9 Sd 7,23,48
2013,46,Selangor,Gombak,Apartmentresidensibistari A,11,48
2013,46,Selangor,Petaling,Seksyen 27 Apartmentixora,21,47
2013,46,Selangor,Petaling,Pjs 2C Flat Taman Medan Cahaya,10,47
2013,46,Selangor,Petaling,Pjs 2C Taman Medan,12,47
2013,46,Selangor,Hulu Langat,Jalan 4/9 Seksyen 4 Bandar Baru Bangi,10,46
2013,46,Selangor,Petaling,Bandar  Bukit Puchong 1 (Flat Bandar Bukit Puchong),10,46
2013,46,Selangor,Petaling,Seksyen U5 Pangsapuri Subang Suria,10,46
2013,46,Selangor,Hulu Langat,Apartment Sri Pinang Taman Nirwana,23,44
2013,46,Selangor,Hulu Langat,Jalan Tps 3 Taman Pelangi Semenyih,24,44
2013,46,Selangor,Petaling,"Seksyen 7 Shah Alam Teres B Zon C (Jalan 7/31
- 7/35)",37,44
2013,46,Selangor,Hulu Langat,Jalan Cempaka 2-7 Taman Cempaka,16,44
2013,46,Selangor,Petaling,Ss 3 ( Taman Universiti ),18,42
2013,46,Selangor,Hulu Langat,Apartment Taman Bukit Mutiara,11,42
2013,46,Selangor,Petaling,Taman Puchong Permai (Jalan A28 - A36 ),5,41
2013,46,Selangor,Petaling,Taman  Equini (Jalan Putra Permai 2),10,41
2013,46,Selangor,Hulu Langat,Jalan 9/9A-M Seksyen 9 Bandar Baru Bangi,18,40
2013,46,Selangor,Petaling,"Pjs 6 Flat Desa Mentari 2
(Blok 4, 5 , 6)",6,40
2013,46,Selangor,Hulu Langat,"Jalan 8,15,17&14A Taman Cempaka",11,40
2013,46,Selangor,Hulu Langat,Jalan 15/1 Seksyen 15 Bandar Bari Bangi,19,39
2013,46,Selangor,Hulu Langat,Seksyen 6 Bandar Sri Putra,19,39
2013,46,Selangor,Petaling,Seksyen 8 Teres B2 (Jalan 8/14 - Jalan 8/28),22,38
2013,46,Selangor,Petaling,"Pju 5 Sek 11 Gugusan
Dedap 2 (Blok 6-10)",13,38
2013,46,Selangor,Hulu Langat,Jalan 3/1-15 Seksyen 3 Bandar Baru Bangi,21,37
2013,46,Selangor,Hulu Langat,Kampung Baru Bangi Lama,5,36
2013,46,Selangor,Hulu Langat,Apartment Taman Bukit Mewah,8,35
2013,46,Selangor,Petaling,"Pju 10 Apartmentidaman
2    ( Blok E,F,G,O,P,Q,R,S )",11,35
2013,46,Selangor,Hulu Langat,Jalan Inang 1/9-11/9 Bandar Mahkota Cheras,8,35
2013,46,Selangor,Hulu Langat,Apartment Sri Tanjung Seksyen 7 Bandar Baru Bangi,7,33
2013,46,Selangor,Petaling,Pju 3 (Rianagreencondo),9,33
2013,46,Selangor,Gombak,Taman Jasa Utama Zon  1,8,32
2013,46,Selangor,Hulu Langat,Apartment Pandan Mesra Prima Kampung Ampang Campuran,8,32
2013,46,Selangor,Hulu Langat,Pangsapuri Vista Perdana Bandar Teknologi,4,31
2013,46,Selangor,Petaling,Pju 5 Seksyen 6,15,32
2013,46,Selangor,Gombak,Taman Samudera Selatan,5,31
2013,46,Selangor,Hulu Langat,Casavillacondo Sungai Chua,9,31
2013,47,Selangor,Petaling,"Pjs 8 Mentari Court  1 (Blok A, B, C,D)",112,160
2013,47,Selangor,Petaling,Seksyen 7 Shah Alam Flat A (Blok 1-Blok 12 & Blok 38 - Blok 43),154,139
2013,47,Selangor,Petaling,Seksyen 7 Shah Alam Flat C (Blok 44 - Blok 51),71,132
2013,47,Selangor,Petaling,"Seksyen 7 Shah Alam Teres B Zon A (Jln 7/29- 7/30, Unisel & Jln A7/A- F7/F)",44,112
2013,47,Selangor,Petaling,Seksyen 7 Shah Alam Teres B Zon B (Jln 7/24- 7/27),42,96
2013,47,Selangor,Petaling,Ss 2 (Timur),30,92
2013,47,Selangor,Petaling,Ss 2 (Selatan),31,88
2013,47,Selangor,Petaling,Seksyen 7 Shah Alam Teres A Zon A (Jln 7/11- 7/22),25,86
2013,47,Selangor,Petaling,Ss 22,13,80
2013,47,Selangor,Hulu Langat,Jalan 8/1-15 Seksyen 8 Bandar Baru Bangi,29,75
2013,47,Selangor,Hulu Langat,Flat Sri Nilam Bandar Baru Ampang,39,74
2013,47,Selangor,Petaling,Taman Puchong Utama 2,18,71
2013,47,Selangor,Hulu Langat,Seksyen 2 Bandar Rinching,22,67
2013,47,Selangor,Hulu Langat,Apartment Persona Taman Kajang Utama,14,66
2013,47,Selangor,Sepang,Taman Desa Sentosa,102,65
2013,47,Selangor,Hulu Langat,Jalan 7/3 Seksyen 7 Bandar Baru Bangi,21,63
2013,47,Selangor,Hulu Langat,City Garden Palm Villa Kondo Taman Cempaka,42,62
2013,47,Selangor,Hulu Langat,Seksyen 7 Bandar Sri Putra,11,62
2013,47,Selangor,Petaling,Pjs 9 Lagoon Perdana,17,60
2013,47,Selangor,Petaling,Pusat Bandar Puchong 5 ( Sri Jati ),13,60
2013,47,Selangor,Hulu Langat,"Jalan 6/9,6/10,6/11 & 6/14 Tasek Tambahan",15,59
2013,47,Selangor,Hulu Langat,Pangsapuri Mewah Taman Damai Mewah,12,59
2013,47,Selangor,Petaling,Seksyen  3 Uitm Shah Alam Kolej Jati,20,59
2013,47,Selangor,Petaling,"Seksyen 7E B Pusat Komersial (Jalan Aa7/Aa
& Ac7/Ac & Jalan U7/U - Z7/Z)",22,58
2013,47,Selangor,Hulu Langat,Jalan Nirwana 1-17 Taman Nirwana,20,58
2013,47,Selangor,Petaling,Seksyen 2 Petaling Jaya,8,56
2013,47,Selangor,Petaling,Ss 19/1 Subang Jaya,18,56
2013,47,Selangor,Hulu Langat,Pangsapuri Delima Taman Pinggiran Delima,14,55
2013,47,Selangor,Petaling,Pjs 10 Kondo Ridzuan,16,55
2013,47,Selangor,Petaling,Pju 9 Sd 7,25,55
2013,47,Selangor,Gombak,Apartment Residensi Bistaria,11,55
2013,47,Selangor,Petaling,Seksyen 27 Apartment Ixora,23,54
2013,47,Selangor,Petaling,Pjs 2C Flat Taman Medan Cahaya,10,54
2013,47,Selangor,Petaling,Pjs 2C Taman Medan,15,54
2013,47,Selangor,Petaling,Bandar  Bukit Puchong 1 (Flat Bandar Bukit Puchong),13,53
2013,47,Selangor,Hulu Langat,Jalan 4/9 Seksyen 4 Bandar Baru Bangi,14,53
2013,47,Selangor,Petaling,Seksyen U5 Pangsapuri Subang Suria,12,53
2013,47,Selangor,Hulu Langat,Apartment Sri Pinang Taman Nirwana,25,51
2013,47,Selangor,Hulu Langat,Jalan Tps 3 Taman Pelangi Semenyih,28,51
2013,47,Selangor,Petaling,"Seksyen 7 Shah Alam Teres B Zon C (Jalan 7/31
- 7/35)",50,51
2013,47,Selangor,Petaling,Ss 3 ( Taman Universiti ),19,49
2013,47,Selangor,Hulu Langat,Apartment Taman Bukit Mutiara,11,49
2013,47,Selangor,Petaling,Taman  Equini (Jalan Putra Permai 2),12,48
2013,47,Selangor,Hulu Langat,Jalan 9/9A-M Seksyen 9 Bandar Baru Bangi,19,47
2013,47,Selangor,Petaling,"Pjs 6 Flat Desa Mentari 2
(Blok 4, 5 , 6)",9,47
2013,47,Selangor,Hulu Langat,"Jalan 8,15,17&14A Taman Cempaka",11,47
2013,47,Selangor,Hulu Langat,Jalan 15/1 Seksyen 15 Bandar Baru Bangi,20,46
2013,47,Selangor,Petaling,"Pju 5 Sek 11 Gugusan
Dedap 2 (Blok 6-10)",14,45
2013,47,Selangor,Petaling,Seksyen 8 Teres B2 (Jalan 8/14 - Jalan 8/28),32,45
2013,47,Selangor,Hulu Langat,Jalan 3/1-15 Seksyen 3 Bandar Baru Bangi,26,44
2013,47,Selangor,Hulu Langat,Kampung Baru Bangi Lama,8,43
2013,47,Selangor,Petaling,"Pju 10 Apartmentidaman
2    ( Blok E,F,G,O,P,Q,R,S )",14,42
2013,47,Selangor,Hulu Langat,Jalan Inang 1/9-11/9 Bandar Mahkota Cheras,11,42
2013,47,Selangor,Hulu Langat,Apartment Taman Bukit Mewah,9,42
2013,47,Selangor,Petaling,Pju 3 (Riana Green Condo),10,40
2013,47,Selangor,Hulu Langat,Apartment Sri Tanjung Seksyen 7 Bandar Baru Bangi,8,40
2013,47,Selangor,Petaling,Pju 5 Seksyen 6,17,39
2013,47,Selangor,Hulu Langat,Casa Villa Condo Sungai Chua,11,38
2013,47,Selangor,Gombak,Apartment Casmaria,16,37
2013,47,Selangor,Gombak,Au4 Taman Keramat Zon 3,9,37
2013,47,Selangor,Hulu Langat,Apartment Cemara Taman Kajang Utama,6,37
2013,47,Selangor,Hulu Langat,Taman Sri Bangi,6,37
2013,47,Selangor,Hulu Langat,Flat A1-A6 Taman Pandan Mewah,8,36
2013,47,Selangor,Hulu Langat,Jalan 39-48 Taman Bukit Mewah,4,36
2013,47,Selangor,Hulu Langat,Taman Taming Impian,16,36
2013,47,Selangor,Petaling,Seksyen 51A ( Rumah Teres ),7,35
2013,47,Selangor,Petaling,"Seksyen  13
(Kondo Sri Acapella)",11,35
2013,47,Selangor,Petaling,Taman Universiti Indah ( Jalan 1/11 - 1/29 ),4,34
2013,47,Selangor,Petaling,Taman Puchong Permai ( Blok A11-A20 ),8,34
2013,47,Selangor,Hulu Langat,Jalan Melortaman Sri Ramal,8,34
2013,47,Selangor,Petaling,Pju 8 Metropolitan Square Condo,10,33
2013,47,Selangor,Petaling,Ss 4 Petaling Jaya,4,33
2013,47,Selangor,Petaling,Bandar Bukit Puchong Vista Prima,15,33
2013,47,Selangor,Petaling,Pjs 5 Flat Desa Ria,17,33
2013,47,WPKL,Lembah Pantai,Kuarters Ktmb (Blok 41 & 42),8,32
2013,47,Selangor,Hulu Langat,Jalan 2/3-2/13 Taman Kosas,5,32
2013,47,Selangor,Hulu Langat,"Jalan 1-10,12 Taman Harmoni Semenyih",7,32
2013,47,Selangor,Hulu Langat,Seksyen 1 Bandar Teknologi,5,31
2013,47,Selangor,Petaling,Pjs 6 Kg Lindungan,7,31
2013,48,Selangor,Petaling,"Pjs 8 Mentari Court  1 (Blok A, B, C,D)",115,167
2013,48,Selangor,Petaling,Seksyen 7 Shah Alam Flat A (Blok 1-Blok 12 & Blok 38 - Blok 43),163,146
2013,48,Selangor,Petaling,Seksyen 7 Shah Alam Flat C (Blok 44 - Blok 51),71,139
2013,48,Selangor,Petaling,Seksyen 7 Shah Alam Flat B (Blok 13 - Blok 37),78,125
2013,48,Selangor,Petaling,"Seksyen 7 Shah Alam Teres B Zon A (Jln 7/29- 7/30, Unisel & Jln A7/A- F7/F)",48,119
