Textbox78,Textbox20,Textbox24,Textbox28,Textbox32,Textbox36,Textbox8,Id,Id1,Textbox2,Textbox95,TfpId,Textbox5,Textbox79,Textbox21,Textbox25,Textbox29,Textbox33,Textbox37,Textbox9,Textbox67,Textbox68,Textbox69,Textbox70,Textbox73,Textbox76,Textbox82
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PSS TUNAS LARUT ENTERPRISE,90000214,NORTH2,70980,90000214-1,PRIMAX 97,1005,1103,785,632,856,755,1021,10085,14555,13688,12002,11456,10558,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PSS TUNAS LARUT ENTERPRISE,90000214,NORTH2,70980,90000214-5,BIODIESEL B7 (RETAIL),5007,4865,6589,6951,6980,6458,6998,12008,13885,15928,19008,18010,10258,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PSS TUNAS LARUT ENTERPRISE,90000214,NORTH2,70980,90000214-2,PRIMAX 95,6269,6662,5952,5662,5953,5329,6002,10958,10558,9374,3258,9025,11195,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PSS TUNAS LARUT ENTERPRISE,90000214,NORTH2,70980,90000214-4,PRIMAX 95,6270,6661,5953,5663,5953,5329,6001,21088,23528,19258,22209,27000,20221,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,SYARIKAT PERNIAGAAN IKHWAN,90000220,NORTH2,49140,90000220-2,PRIMAX 97,,,,,,,,,,,,,,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,SYARIKAT PERNIAGAAN IKHWAN,90000220,NORTH2,49140,90000220-4,PRIMAX 95,,,,,,,,,,,,,,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,SYARIKAT PERNIAGAAN IKHWAN,90000220,NORTH2,49140,90000220-1,BIODIESEL B7 (RETAIL),,,,,,,,,,,,,,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,SYARIKAT PERNIAGAAN IKHWAN,90000220,NORTH2,49140,90000220-3,PRIMAX 95,,,,,,,,,,,,,,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,LUBITRADE SDN BHD,90000226,NORTH1,32760,90000226-3,PRIMAX 95,3332,3337,3109,3047,3102,3267,2912,15635,13685,11952,21029,19095,17638,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,LUBITRADE SDN BHD,90000226,NORTH1,32760,90000226-4,BIODIESEL B7 (RETAIL),2360,2381,2905,3104,2661,2148,2023,21665,19274,16915,19488,16368,13739,
